PPID,Day,Reported,Estimated,PropPos
10,8,17,0.303118028,0
10,8,-15,0.266740797,0
10,8,18,0.877860753,1
10,8,-11,0.226350719,0
10,8,20,0.23437063,0
10,8,19,0.200936812,0
10,8,17,0.087967918,0
10,8,30,0.50157052,1
10,8,16,0.867519604,1
10,8,14,0.200936812,0
10,8,17,0.200936812,0
10,8,12,0.239829983,0
10,8,18,0.200936812,0
10,8,17,0.200936812,0
10,8,22,0.966903189,1
10,9,12,0.205524164,0
10,9,-19,0.41394186,0
10,9,35,0.966903189,1
10,9,17,0.140615185,0
10,10,24,0.50157052,1
10,10,-16,0.377327835,0
10,10,15,0.200936812,0
10,11,17,0.377327835,0
10,11,11,0.25387319,0
10,11,13,0.123790363,0
10,11,-19,0.23437063,0
10,11,16,0.867519604,1
10,11,-21,0.123790363,0
10,11,18,0.50157052,1
10,11,14,0.50157052,1
10,11,20,0.200936812,0
10,11,15,0.348600034,0
10,12,-12,0.23437063,0
10,12,17,0.377327835,0
10,12,10,0.200936812,0
10,12,10,0.50157052,1
10,12,10,0.877860753,1
10,12,12,0.317334813,0
10,12,13,0.317334813,0
10,13,11,0.200936812,0
10,13,10,0.200936812,0
10,13,17,0.838175618,1
10,13,18,0.841095009,1
10,13,12,0.200936812,0
10,13,6,0.226350719,0
10,13,19,0.200936812,0
10,14,23,0.50157052,1
10,14,7,0.50157052,1
10,14,-23,0.226350719,0
10,14,16,0.200936812,0
10,14,15,0.50157052,1
11,1,4,0.844717825,1
11,2,15,0.543173246,0.5
11,2,-2,0.607413753,1
11,2,24,0.50157052,1
11,3,42,0.880058395,0.333333333
11,3,3,0.421964176,1
11,4,24,0.81797896,1
11,4,30,0.71976152,1
11,4,-20,0.25290449,0
11,5,7,0.50157052,1
11,5,11,0.205524164,0
11,5,31,0.607413753,1
11,5,15,0.651676465,1
11,5,-2,0.200936812,0
11,5,18,0.705367136,1
11,6,19,0.885381723,0.5
11,6,-4,0.91440677,1
11,6,9,0.898717415,0.5
11,6,7,0.440844245,0.5
11,6,32,0.333400212,0.333333333
11,6,-18,0.158639361,0
11,6,-18,0.288093977,0.333333333
11,6,-10,0.775622445,1
11,6,22,0.607413753,1
11,6,8,0.81797896,1
11,6,18,0.877860753,1
11,6,18,0.481208279,0.5
11,6,13,0.606445838,0
11,7,13,0.498559016,0.5
11,7,6,0.377334012,0.5
11,7,1,0.892424806,1
11,7,10,0.50157052,1
11,7,9,0.844596078,1
11,7,25,0.606445838,0
11,7,7,0.607413753,1
11,7,19,0.877860753,1
11,7,10,0.607413753,1
11,8,5,0.780189549,0.5
11,8,6,0.639389165,0.333333333
11,8,1,0.418610945,0.5
11,8,9,0.668775905,0.666666667
11,8,-11,0.488576202,0.5
11,8,3,0.692558059,1
11,8,22,0.388155395,0.333333333
11,9,9,0.297314849,0.333333333
11,9,15,0.377327835,0
11,9,-14,0.123329647,0
11,9,10,0.377327835,0
11,9,-8,0.25387319,0
11,9,-17,0.10269011,0
11,9,-12,0.591783679,0.5
11,9,3,0.81797896,1
11,9,4,0.138972641,0
11,10,0,0.54420125,0.333333333
11,10,13,0.607413753,1
11,10,6,0.338163849,0.5
11,10,11,0.377327835,0
11,10,5,0.877860753,1
11,10,15,0.850916441,1
11,11,7,0.377327835,0
11,11,7,0.377327835,0
11,11,3,0.607413753,1
11,11,-10,0.433696738,0.25
11,11,31,0.966903189,1
11,11,14,0.356600136,0
11,11,7,0.844717825,1
11,11,12,0.607413753,1
11,12,8,0.190275008,0.666666667
11,12,20,0.966903189,1
11,12,3,0.386473547,0.333333333
11,12,5,0.730320497,0.5
11,12,10,0.607413753,1
11,12,-7,0.317334813,0
11,12,13,0.877860753,1
11,12,9,0.607413753,1
11,13,-9,0.147480408,0
11,13,9,0.23437063,0
11,13,11,0.444214617,0.5
11,13,5,0.607413753,1
11,13,12,0.607413753,1
11,13,10,0.817266468,0.5
11,13,-2,0.50157052,1
11,14,8,0.377327835,0
11,14,13,0.966903189,1
11,14,12,0.877860753,1
11,14,3,0.877860753,1
11,14,11,0.356600136,0
11,14,15,0.877860753,1
11,14,7,0.877860753,1
11,14,24,0.317334813,0
12,1,1,0.426792205,0
12,1,11,0.499407507,0
12,1,20,0.642670738,1
12,1,-20,0.087967918,0
12,1,25,0.844717825,1
12,1,20,0.317334813,0
12,1,-9,0.25387319,0
12,2,14,0.854815045,1
12,2,20,0.87405503,1
12,2,21,0.682660662,0.5
12,2,32,0.87405503,1
12,2,24,0.87405503,1
12,2,10,0.91440677,1
12,2,21,0.892424806,1
12,2,1,0.285958754,0
12,2,23,0.642670738,1
12,3,13,0.867519604,1
12,3,-9,0.123790363,0
12,3,-2,0.123790363,0
12,3,11,0.499407507,0
12,3,19,0.499407507,0
12,3,15,0.499407507,0
12,3,13,0.91440677,1
12,3,25,0.880612727,1
12,4,9,0.23437063,0
12,4,10,0.91440677,1
12,4,13,0.317334813,0
12,4,1,0.140615185,0
12,4,-14,0.140615185,0
12,4,-7,0.200936812,0
12,4,-2,0.200936812,0
12,4,22,0.867519604,1
12,5,21,0.699077148,1
12,5,20,0.747300742,1
12,5,20,0.91440677,1
12,5,16,0.91440677,1
12,5,10,0.87405503,1
12,5,2,0.25387319,0
12,5,-6,0.289154788,0
12,6,-43,0.087967918,0
12,6,-2,0.196994389,0
12,6,7,0.499407507,0
12,6,16,0.499407507,0
12,6,9,0.140615185,0
12,6,11,0.205524164,0
12,7,12,0.660724215,1
12,7,13,0.499407507,0
12,7,4,0.844717825,1
12,7,18,0.844717825,0.5
12,7,13,0.377327835,0
12,7,8,0.25387319,0
12,7,18,0.888365416,1
12,7,9,0.81797896,1
12,8,13,0.499407507,0
12,8,14,0.25387319,0
12,8,9,0.606445838,0
12,8,14,0.606445838,0
12,9,14,0.317334813,0
12,9,9,0.140615185,0
12,9,9,0.499407507,0
12,9,14,0.317334813,0
12,9,12,0.499407507,0
12,9,12,0.892424806,1
12,9,11,0.844717825,1
12,10,8,0.580701005,1
12,10,11,0.317334813,0
